model,label,lab,country,PC1,PC2,PC3,PC4
M1,Claude Opus 4.7 (Anthropic),Anthropic,US,-4.3146,-2.5070,-0.5921,0.5818
M2,GPT-5.5 (OpenAI),OpenAI,US,-4.4817,-3.2198,0.3457,1.0180
M3,Gemini 3.1 Pro (Google),Google,US,-5.0811,-4.2639,-0.2118,0.4581
M4,DeepSeek v4 Pro,DeepSeek,CN,-5.0721,-5.6795,-0.3473,0.4613
M5,Kimi k2.6 (Moonshot),Moonshot,CN,-2.3741,-2.3346,1.0250,-0.3542
M6,Mistral Large 2512,Mistral,FR,-2.0319,10.9917,-10.6682,3.9942
M7,Command A (Cohere),Cohere,CA,26.0963,-3.2145,-1.0919,1.6941
M8,Qwen 3.7 Max (Alibaba),Alibaba,CN,-4.6150,-3.3839,-1.0900,0.5925
M9,Llama 4 Maverick (Meta),Meta,US,0.0199,8.6667,12.5620,3.7058
M10,Grok 4.20 (xAI),xAI,US,1.8544,4.9448,0.0686,-12.1515
