model,label,lab,country,PC1,PC2,PC1_ci_lo,PC1_ci_hi,PC2_ci_lo,PC2_ci_hi
M1,Claude Opus 4.7,Anthropic,US,-7.2894,-4.3674,-0.1389,-0.1040,-0.0979,-0.0125
M2,GPT-5.5,OpenAI,US,-7.5819,-6.4324,-0.1558,-0.1030,-0.1364,-0.0147
M3,Gemini 3.1 Pro,Google,US,-5.2914,-6.4872,-0.1301,-0.0524,-0.1604,-0.0197
M4,DeepSeek v4 Pro,DeepSeek,CN,-7.6631,-5.4859,-0.1631,-0.0928,-0.1697,0.0010
M5,Kimi k2.6,Moonshot,CN,-4.6223,-5.1181,-0.1119,-0.0492,-0.1171,-0.0270
M6,Mistral Large 2512,Mistral,FR,-0.5790,15.9044,-0.1355,0.1742,-0.1608,0.4345
M7,Cohere Command A,Cohere,CA,43.2827,-5.3759,0.5813,0.7857,-0.1306,0.0197
M8,Qwen 3.7 Max,Alibaba,CN,-7.8996,-7.8220,-0.1612,-0.1077,-0.1625,-0.0352
M9,Llama 4 Maverick,Meta,US,-0.5548,20.6455,-0.0695,0.0649,-0.1352,0.4997
M10,Grok 4.20,xAI,US,0.8435,6.5741,-0.0211,0.0683,-0.0063,0.2214
M11,Claude Opus 4.8,Anthropic,US,-2.6447,-2.0350,-0.0756,-0.0165,-0.0547,-0.0060
